title,genre,studio,total_gross,theaters,opening_gross,open_date
The Visit,Horror,Uni.,65206105,3148,25427560,9/11/15
The Wedding Ringer,Comedy,SGem,64460211,3003,20649306,1/16/15
Black Mass,Crime Drama,WB,62575678,3188,22635037,9/18/15
Vacation,Comedy,WB (NL),58884188,3430,14681108,7/29/15
The Perfect Guy,Thriller,SGem,57027435,2230,25888154,9/11/15
Joy,Comedy / Drama,Fox,56451232,2924,17015168,12/25/15
Fantastic Four,Action / Adventure,Fox,56117548,4004,25685737,8/7/15
The Hateful Eight,Western,Wein.,54117416,2938,4610676,12/25/15
Focus (2015),Comedy,WB,53862963,3323,18685137,2/27/15
Southpaw,Drama,Wein.,52421953,2772,16701294,7/24/15
Insidious Chapter 3,Horror,Focus,52218558,3014,22692741,6/5/15
Poltergeist (2015),Horror,Fox,47425125,3242,22620386,5/22/15
Jupiter Ascending,Sci-Fi,WB,47387723,3181,18372372,2/6/15
Sicario,Action Drama,LGF,46889293,2620,401288,9/18/15
The Man From U.N.C.L.E.,Action,WB,45445109,3673,13421036,8/14/15
Spotlight,Drama,ORF,45055776,1227,295009,11/6/15
"McFarland, USA",Sports Drama,BV,44482410,2792,11020798,2/20/15
The Gift (2015),Thriller,STX,43787265,2503,11854273,8/7/15
Everest (2015),Thriller,Uni.,43482270,3009,7222035,9/18/15
The Night Before,Comedy,Sony,43047372,2960,9880536,11/20/15
Krampus,Horror Comedy,Uni.,42725475,2919,16293325,12/4/15
Max (2015),Family,WB,42656255,2870,12155254,6/26/15
The Age of Adaline,Drama,LGF,42629776,3070,13203458,4/24/15
Brooklyn,Drama,FoxS,38322743,962,187281,11/4/15
The Longest Ride,Romance,Fox,37446117,3371,13019686,4/10/15
The Boy Next Door,Thriller,Uni.,35423380,2615,14910105,1/23/15
Pan,Fantasy,WB,35088320,3515,15315435,10/9/15
Hot Pursuit,Comedy,WB (NL),34580201,3037,13942258,5/8/15
Concussion (2015),Drama,Sony,34542474,2841,10513749,12/25/15
The DUFF,Comedy,LGF,34030343,2622,10809149,2/20/15
Woman in Gold,Drama,Wein.,33307793,2011,2091551,4/1/15
The Second Best Exotic Marigold Hotel,Comedy / Drama,FoxS,33078266,2022,8540370,3/6/15
Unfriended,Horror,Uni.,32482090,2775,15845115,4/17/15
Entourage,Comedy,WB,32363404,3108,10283250,6/3/15
Paper Towns,Drama,Fox,32000304,3031,12650140,7/24/15
Chappie,Sci-Fi Action,Sony,31569268,3201,13346782,3/6/15
Crimson Peak,Horror,Uni.,31090320,2991,13143310,10/16/15
A Walk in the Woods,Comedy,BG,29504281,2158,8246267,9/2/15
Point Break (2015),Action,WB,28782481,2910,9800252,12/25/15
Sinister 2,Horror,Focus,27740955,2799,10542116,8/21/15
The Last Witch Hunter,Action Fantasy,LG/S,27367660,3082,10812861,10/23/15
No Escape,Action,Wein.,27288872,3415,8111264,8/26/15
Ricki and the Flash,Comedy / Drama,TriS,26822144,2064,6610961,8/7/15
The Woman in Black 2: Angel of Death,Horror,Rela.,26501323,2602,15027415,1/2/15
Run All Night,Action,WB,26461644,3171,11012305,3/13/15
Love the Coopers,Comedy,LGF,26302731,2603,8317545,11/13/15
The Lazarus Effect,Horror,Rela.,25801047,2666,10203437,2/27/15
Ex Machina,Sci-Fi Thriller,A24,25442958,2004,237264,4/10/15
In the Heart of the Sea,Drama,WB,25020758,3103,11053366,12/11/15
The Gallows,Horror,WB (NL),22764410,2720,9808463,7/10/15
Hitman: Agent 47,Action / Adventure,Fox,22467450,3273,8326530,8/21/15
Project Almanac,Sci-Fi,Par.,22348241,2900,8310252,1/30/15
Black or White,Drama,Rela.,21571189,1823,6213362,1/30/15
Aloha,Comedy / Drama,Sony,21067116,2815,9670235,5/29/15
Rogue One: A Star Wars Story,Sci-Fi Adventure,BV,532177324,4157,155081681,12/16/16
Finding Dory,Animation,BV,486295561,4305,135060273,6/17/16
Captain America: Civil War,Action / Adventure,BV,408084349,4226,179139142,5/6/16
The Secret Life of Pets,Animation,Uni.,368384330,4381,104352905,7/8/16
The Jungle Book (2016),Adventure,BV,364001123,4144,103261464,4/15/16
Deadpool,Action,Fox,363070709,3856,132434639,2/12/16
Zootopia,Animation,BV,341268248,3959,75063401,3/4/16
Batman v Superman: Dawn of Justice,Action / Adventure,WB,330360194,4256,166007347,3/25/16
Suicide Squad,Action / Adventure,WB,325100054,4255,133682248,8/5/16
Sing,Animation,Uni.,270329045,4029,35258145,12/21/16
Moana,Animation,BV,248757044,3875,56631401,11/23/16
Fantastic Beasts and Where To Find Them,Fantasy,WB,234037575,4144,74403387,11/18/16
Doctor Strange,Action / Adventure,BV,232641920,3882,85058311,11/4/16
Hidden Figures,Drama,Fox,169380811,3416,515499,12/25/16
Jason Bourne,Action,Uni.,162434410,4039,59215365,7/29/16
Star Trek Beyond,Sci-Fi Adventure,Par.,158848340,3928,59253211,7/22/16
X-Men: Apocalypse,Action / Adventure,Fox,155442489,4153,65769562,5/27/16
Trolls,Animation,Fox,153707064,4066,46581142,11/4/16
La La Land,Musical,LG/S,151101803,3236,881104,12/9/16
Kung Fu Panda 3,Animation,Fox,143528619,3987,41282042,1/29/16
Ghostbusters (2016),Horror Comedy,Sony,128350574,3963,46018755,7/15/16
Central Intelligence,Comedy,WB (NL),127440871,3508,35535250,6/17/16
The Legend of Tarzan,Action / Adventure,WB,126643061,3591,38527856,7/1/16
Sully,Drama,WB,125070033,3955,35028301,9/9/16
Bad Moms,Comedy,STX,113257297,3215,23817340,7/29/16
The Angry Birds Movie,Animation,Sony,107509366,3932,38155177,5/20/16
Independence Day: Resurgence,Sci-Fi Adventure,Fox,103144286,4130,41039944,6/24/16
The Conjuring 2,Horror,WB (NL),102470008,3356,40406314,6/10/16
Arrival,Sci-Fi,Par.,100546139,3115,24074047,11/11/16
Passengers (2016),Sci-Fi,Sony,100014699,3478,14869736,12/21/16
Sausage Party,Animation,Sony,97685686,3135,34263534,8/12/16
The Magnificent Seven (2016),Western,Sony,93432655,3696,34703397,9/23/16
Ride Along 2,Action Comedy,Uni.,91221830,3192,35243095,1/15/16
Don't Breathe,Horror Thriller,SGem,89217875,3384,26411706,8/26/16
Miss Peregrine's Home for Peculiar Children,Fantasy,Fox,87242834,3835,28871140,9/30/16
The Accountant,Drama,WB,86260045,3402,24710273,10/14/16
Teenage Mutant Ninja Turtles: Out of the Shadows,Action / Adventure,Par.,82051601,4071,35316382,6/3/16
The Purge: Election Year,Thriller,Uni.,79213375,2821,31515110,7/1/16
Alice Through the Looking Glass,Family Adventure,BV,77041381,3763,26858726,5/27/16
Pete's Dragon (2016),Family,BV,76233151,3702,21514095,8/12/16
The Girl on the Train (2016),Thriller,Uni.,75395035,3241,24536265,10/7/16
Boo! A Madea Halloween,Horror Comedy,LGF,73206343,2299,28501448,10/21/16
Storks,Animation,WB,72679278,3922,21311407,9/23/16
10 Cloverfield Lane,Thriller,Par.,72082998,3427,24727437,3/11/16
Lights Out,Horror,WB (NL),67268835,2835,21688103,7/22/16
Hacksaw Ridge,Action Drama,LGF,67209615,2971,15190758,11/4/16
The Divergent Series: Allegiant,Action / Adventure,LG/S,66184051,3740,29027348,3/18/16
Now You See Me 2,Thriller,LG/S,65075540,3232,22383146,6/10/16
Ice Age: Collision Course,Animation,Fox,64063008,3997,21373064,7/22/16
The Boss,Comedy,Uni.,63285885,3495,23586645,4/8/16
London Has Fallen,Action,Focus,62524260,3492,21635601,3/4/16
Miracles from Heaven,Drama,TriS,61705123,3155,14812393,3/16/16
Deepwater Horizon,Action Drama,LG/S,61433527,3403,20223544,9/30/16
Why Him?,Comedy,Fox,60323786,3008,11002986,12/23/16
My Big Fat Greek Wedding 2,Comedy,Uni.,59689605,3179,17861950,3/25/16
Jack Reacher: Never Go Back,Crime Drama,Par.,58697076,3780,22872490,10/21/16
Fences,Drama,Par.,57682904,2368,129462,12/16/16
Me Before You,Romance,WB (NL),56245075,2762,18723269,6/3/16
The BFG,Adventure,BV,55483770,3392,18775350,7/1/16
Neighbors 2: Sorority Rising,Comedy,Uni.,55455765,3416,21760405,5/20/16
The Shallows,Horror,Sony,55124043,2962,16800868,6/24/16
Office Christmas Party,Comedy,Par.,54767494,3210,17500000,12/9/16
Assassin's Creed,Action,Fox,54647948,2996,10278225,12/21/16
Barbershop: The Next Cut,Comedy,WB (NL),54030051,2676,20242415,4/15/16
13 Hours: The Secret Soldiers of Benghazi,Drama,Par.,52853219,2917,16194738,1/15/16
Lion,Drama,Wein.,51728731,1802,123360,11/25/16
The Huntsman: Winter's War,Action / Adventure,Uni.,48390190,3802,19445035,4/22/16
Kubo and the Two Strings,Animation,Focus,48023088,3279,12608372,8/19/16
Manchester by the Sea,Drama,RAtt.,47695371,1213,256498,11/18/16
Warcraft,Fantasy,Uni.,47365290,3406,24166110,6/10/16
How to Be Single,Romantic Comedy,WB (NL),46843513,3357,17878911,2/12/16
Mike and Dave Need Wedding Dates,Comedy,Fox,46009673,3008,16628170,7/8/16
War Dogs,Comedy / Drama,WB,43034523,3258,14685305,8/19/16
Almost Christmas,Comedy,Uni.,42065185,2379,15134235,11/11/16
Money Monster,Drama / Thriller,TriS,41012075,3104,14788157,5/13/16
Allied,Romantic Thriller,Par.,40098064,3160,12701743,11/23/16
Nerve,Thriller,LGF,38583626,2538,9445456,7/27/16
Risen,Action / Adventure,Sony,36880033,2915,11801271,2/19/16
The Nice Guys,Comedy Thriller,WB,36261763,2865,11203270,5/20/16
The Boy (2016),Horror,STX,35819556,2671,10778392,1/22/16
Dirty Grandpa,Comedy,LGF,35593113,2912,11111875,1/22/16
Ouija: Origin of Evil,Horror,Uni.,35144505,3168,14065500,10/21/16
The 5th Wave,Sci-Fi Action,Sony,34916787,2908,10326356,1/22/16
